年,区分00,区分01,国籍・地域,罪種00,罪種01,検挙人員,人数,検挙人員数_1万人あたり
2022,外国人,来日外国人以外,インドネシア,その他の刑法犯,計,2,6967,2.870676044208411
2022,外国人,来日外国人以外,インドネシア,凶悪犯,不同意性交等,0,6967,0.0
2022,外国人,来日外国人以外,インドネシア,凶悪犯,強盗,0,6967,0.0
2022,外国人,来日外国人以外,インドネシア,凶悪犯,放火,0,6967,0.0
2022,外国人,来日外国人以外,インドネシア,凶悪犯,殺人,0,6967,0.0
2022,外国人,来日外国人以外,インドネシア,凶悪犯,計,0,6967,0.0
2022,外国人,来日外国人以外,インドネシア,知能犯,計,0,6967,0.0
2022,外国人,来日外国人以外,インドネシア,窃盗犯,計,5,6967,7.176690110521028
2022,外国人,来日外国人以外,インドネシア,粗暴犯,計,5,6967,7.176690110521028
2022,外国人,来日外国人以外,インドネシア,計,計,12,6967,17.224056265250468
2022,外国人,来日外国人以外,インドネシア,風俗犯,計,0,6967,0.0
2022,外国人,来日外国人以外,カナダ,その他の刑法犯,計,2,4095,4.884004884004884
2022,外国人,来日外国人以外,カナダ,凶悪犯,不同意性交等,0,4095,0.0
2022,外国人,来日外国人以外,カナダ,凶悪犯,強盗,0,4095,0.0
2022,外国人,来日外国人以外,カナダ,凶悪犯,放火,0,4095,0.0
2022,外国人,来日外国人以外,カナダ,凶悪犯,殺人,0,4095,0.0
2022,外国人,来日外国人以外,カナダ,凶悪犯,計,0,4095,0.0
2022,外国人,来日外国人以外,カナダ,知能犯,計,0,4095,0.0
2022,外国人,来日外国人以外,カナダ,窃盗犯,計,4,4095,9.768009768009769
2022,外国人,来日外国人以外,カナダ,粗暴犯,計,6,4095,14.652014652014651
2022,外国人,来日外国人以外,カナダ,計,計,14,4095,34.18803418803419
2022,外国人,来日外国人以外,カナダ,風俗犯,計,2,4095,4.884004884004884
2022,外国人,来日外国人以外,スリランカ,その他の刑法犯,計,5,3341,14.9655791679138
2022,外国人,来日外国人以外,スリランカ,凶悪犯,不同意性交等,1,3341,2.9931158335827597
2022,外国人,来日外国人以外,スリランカ,凶悪犯,強盗,0,3341,0.0
2022,外国人,来日外国人以外,スリランカ,凶悪犯,放火,0,3341,0.0
2022,外国人,来日外国人以外,スリランカ,凶悪犯,殺人,0,3341,0.0
2022,外国人,来日外国人以外,スリランカ,凶悪犯,計,1,3341,2.9931158335827597
2022,外国人,来日外国人以外,スリランカ,知能犯,計,1,3341,2.9931158335827597
2022,外国人,来日外国人以外,スリランカ,窃盗犯,計,1,3341,2.9931158335827597
2022,外国人,来日外国人以外,スリランカ,粗暴犯,計,5,3341,14.9655791679138
2022,外国人,来日外国人以外,スリランカ,計,計,14,3341,41.903621670158635
2022,外国人,来日外国人以外,スリランカ,風俗犯,計,1,3341,2.9931158335827597
2022,外国人,来日外国人以外,タイ,その他の刑法犯,計,4,21411,1.868198589510065
2022,外国人,来日外国人以外,タイ,凶悪犯,不同意性交等,0,21411,0.0
2022,外国人,来日外国人以外,タイ,凶悪犯,強盗,0,21411,0.0
