年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員,推定検挙人員,対推定値倍率,日本人_対推定値倍率,対日本人倍率_年齢調整後
2016,外国人,来日外国人,技能実習,知能犯,計,50.0,47.44566913390513,1.0538369657910363,0.9762685635782247,1.079453958784156
2016,外国人,来日外国人,技能実習,窃盗犯,計,463.0,259.5327423482698,1.7839752927154575,0.9773223654677903,1.8253703749648327
2016,外国人,来日外国人,技能実習,粗暴犯,計,39.0,155.12808719050085,0.2514051498108599,0.978143271744298,0.2570228279161349
2016,外国人,来日外国人,技能実習,風俗犯,計,7.0,20.21287338859446,0.34631394880996474,0.9922686291326352,0.34901229227884156
2016,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,91.0,48.70987359861897,1.8682043962967716,0.9781368943155181,1.909962099532199
2016,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,23.0,6.959644338293525,3.3047665774310966,0.9649047635161316,3.4249665898512753
2016,外国人,来日外国人,日本人の配偶者等,知能犯,計,126.0,22.033123185075915,5.7186627125720335,0.9762685635782247,5.857673724135868
2016,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,333.0,125.49084692265984,2.6535799874330936,0.9773223654677903,2.715153240315923
2016,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,301.0,87.18270855643598,3.4525194844704057,0.978143271744298,3.5296664447873933
2016,外国人,来日外国人,日本人の配偶者等,風俗犯,計,15.0,10.020540928245888,1.4969251767355214,0.9922686291326352,1.5085886349586786
2016,外国人,来日外国人,留学,その他の刑法犯,計,406.0,170.53036950579843,2.3808076014647646,0.9781368943155181,2.4340229013964443
2016,外国人,来日外国人,留学,凶悪犯,計,28.0,21.9746301924395,1.274196641981878,0.9649047635161316,1.3205413530540369
2016,外国人,来日外国人,留学,知能犯,計,97.0,58.907045297857216,1.646662118419449,0.9762685635782247,1.6866896875016586
2016,外国人,来日外国人,留学,窃盗犯,計,821.0,356.4918176896689,2.30299815945479,0.9773223654677903,2.356436566713043
2016,外国人,来日外国人,留学,粗暴犯,計,131.0,186.480249220611,0.7024872636513028,0.978143271744298,0.7181844254764183
2016,外国人,来日外国人,留学,風俗犯,計,23.0,25.048363024477062,0.9182236770332889,0.9922686291326352,0.9253781184596446
2016,外国人,来日外国人,短期滞在,その他の刑法犯,計,124.0,133.22787677660594,0.9307361417154529,0.9781368943155181,0.9515397559630594
2016,外国人,来日外国人,短期滞在,凶悪犯,計,13.0,17.58831324349098,0.7391271590418708,0.9649047635161316,0.7660104779133612
2016,外国人,来日外国人,短期滞在,知能犯,計,28.0,53.13546264412674,0.5269550429536901,0.9762685635782247,0.5397644281633854
2016,外国人,来日外国人,短期滞在,窃盗犯,計,259.0,340.4590461488593,0.7607376068567059,0.9773223654677903,0.7783896426974561
2016,外国人,来日外国人,短期滞在,粗暴犯,計,89.0,201.91475213108097,0.440780077040741,0.978143271744298,0.45062936051761526
2016,外国人,来日外国人,短期滞在,風俗犯,計,13.0,23.842023195180783,0.5452557399838327,0.9922686291326352,0.5495041604413647
2017,外国人,来日外国人,その他,その他の刑法犯,計,287.0,189.17662211064757,1.5171007749157106,0.9771013705533754,1.5526544334458459
2017,外国人,来日外国人,その他,凶悪犯,計,48.0,28.011966905803387,1.7135533595841708,0.9711027185675521,1.764543880704801
2017,外国人,来日外国人,その他,知能犯,計,131.0,82.42013374583703,1.5894174644750159,0.9668097712872913,1.6439815894276004
2017,外国人,来日外国人,その他,窃盗犯,計,661.0,438.20788521130936,1.5084164897700494,0.9788678163790062,1.5409807785385479
2017,外国人,来日外国人,その他,粗暴犯,計,342.0,305.0604303545477,1.1210893513869378,0.980369521261117,1.1435375407681005
2017,外国人,来日外国人,その他,風俗犯,計,53.0,36.5868997564,1.4486059314366728,0.9919893373502278,1.4603039336149979
2017,外国人,来日外国人,定住者,その他の刑法犯,計,163.0,57.76420653286608,2.821816654008013,0.9771013705533754,2.8879466747753044
2017,外国人,来日外国人,定住者,凶悪犯,計,25.0,7.5693742932067805,3.302782902734316,0.9711027185675521,3.4010644184027856
2017,外国人,来日外国人,定住者,知能犯,計,60.0,21.82972607530107,2.7485457120731414,0.9668097712872913,2.842902289261618
2017,外国人,来日外国人,定住者,窃盗犯,計,485.0,145.42511118567464,3.3350498826902446,0.9788678163790062,3.4070482519561684
2017,外国人,来日外国人,定住者,粗暴犯,計,341.0,83.62643607294127,4.077657927483248,0.980369521261117,4.1593071174202505
2017,外国人,来日外国人,定住者,風俗犯,計,19.0,10.040813620534816,1.8922769327320688,0.9919893373502278,1.9075577342259165
2017,外国人,来日外国人,技能実習,その他の刑法犯,計,104.0,136.9244373835274,0.7595430150185277,0.9771013705533754,0.7773431067734202
2017,外国人,来日外国人,技能実習,凶悪犯,計,21.0,19.384286957949893,1.0833516881768752,0.9711027185675521,1.1155891827539095
2017,外国人,来日外国人,技能実習,知能犯,計,47.0,55.86125772471158,0.8413702432483616,0.9668097712872913,0.8702541784699703
2017,外国人,来日外国人,技能実習,窃盗犯,計,509.0,293.0851328270704,1.7366967580041879,0.9788678163790062,1.7741892510354627
2017,外国人,来日外国人,技能実習,粗暴犯,計,50.0,186.628118366603,0.2679124691263429,0.980369521261117,0.27327702801460885
2017,外国人,来日外国人,技能実習,風俗犯,計,5.0,23.371790786580256,0.21393311473894108,0.9919893373502278,0.2156606998522714
2017,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,87.0,45.117946154579606,1.9282792639081432,0.9771013705533754,1.9734689992462848
2017,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,12.0,6.746611680386223,1.7786706228974833,0.9711027185675521,1.8315988503473177
2017,外国人,来日外国人,日本人の配偶者等,知能犯,計,118.0,21.01992350995278,5.613721664787594,0.9668097712872913,5.806438693015086
2017,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,249.0,119.72452055715904,2.079774459243895,0.9788678163790062,2.1246734486963974
2017,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,248.0,85.54354473003127,2.899108293707825,0.980369521261117,2.9571587353904087
2017,外国人,来日外国人,日本人の配偶者等,風俗犯,計,17.0,9.56076552594105,1.7781002947801836,0.9919893373502278,1.7924590797818372
2017,外国人,来日外国人,留学,その他の刑法犯,計,398.0,175.4885204709096,2.267954615675136,0.9771013705533754,2.3211047328596965
