年,表示区分,国籍・地域,人口,総人口,構成比,構成比_pct
2024,日本人の配偶者等,ベネズエラ,72,150208,0.00047933532168726033,0.047933532168726034
2024,日本人の配偶者等,ギニア,66,150208,0.0004393907115466553,0.043939071154665534
2024,日本人の配偶者等,タンザニア,66,150208,0.0004393907115466553,0.043939071154665534
2024,日本人の配偶者等,キューバ,65,150208,0.00043273327652322113,0.04327332765232211
2024,日本人の配偶者等,ケニア,57,150208,0.00037947379633574774,0.03794737963357477
2024,日本人の配偶者等,スロバキア,57,150208,0.00037947379633574774,0.03794737963357477
2024,日本人の配偶者等,ベラルーシ,57,150208,0.00037947379633574774,0.03794737963357477
2024,日本人の配偶者等,ブルガリア,55,150208,0.0003661589262888794,0.03661589262888794
2024,日本人の配偶者等,アルジェリア,50,150208,0.00033287175117170854,0.03328717511717085
2024,日本人の配偶者等,リトアニア,50,150208,0.00033287175117170854,0.03328717511717085
2024,日本人の配偶者等,カザフスタン,49,150208,0.0003262143161482744,0.03262143161482744
2024,日本人の配偶者等,無国籍,45,150208,0.0002995845760545377,0.02995845760545377
2024,日本人の配偶者等,フィジー,44,150208,0.0002929271410311035,0.02929271410311035
2024,日本人の配偶者等,ギリシャ,42,150208,0.0002796122709842352,0.02796122709842352
2024,日本人の配偶者等,セルビア,41,150208,0.000272954835960801,0.0272954835960801
2024,日本人の配偶者等,エクアドル,39,150208,0.0002596399659139327,0.02596399659139327
2024,日本人の配偶者等,コスタリカ,39,150208,0.0002596399659139327,0.02596399659139327
2024,日本人の配偶者等,エチオピア,37,150208,0.0002463250958670643,0.024632509586706434
2024,日本人の配偶者等,グアテマラ,37,150208,0.0002463250958670643,0.024632509586706434
2024,日本人の配偶者等,エストニア,36,150208,0.00023966766084363016,0.023966766084363017
2024,日本人の配偶者等,コンゴ民主共和国,36,150208,0.00023966766084363016,0.023966766084363017
2024,日本人の配偶者等,シリア,35,150208,0.000233010225820196,0.0233010225820196
2024,日本人の配偶者等,スーダン,35,150208,0.000233010225820196,0.0233010225820196
2024,日本人の配偶者等,マリ,35,150208,0.000233010225820196,0.0233010225820196
2024,日本人の配偶者等,(朝鮮),33,150208,0.00021969535577332766,0.021969535577332767
2024,日本人の配偶者等,アフガニスタン,32,150208,0.00021303792074989347,0.021303792074989347
2024,日本人の配偶者等,クロアチア,31,150208,0.0002063804857264593,0.02063804857264593
2024,日本人の配偶者等,ホンジュラス,31,150208,0.0002063804857264593,0.02063804857264593
2024,日本人の配偶者等,ヨルダン,31,150208,0.0002063804857264593,0.02063804857264593
2024,日本人の配偶者等,ラトビア,29,150208,0.00019306561567959096,0.019306561567959096
2024,日本人の配偶者等,キルギス,28,150208,0.0001864081806561568,0.01864081806561568
2024,日本人の配偶者等,ウルグアイ,23,150208,0.00015312100553898595,0.015312100553898596
2024,日本人の配偶者等,モルドバ,23,150208,0.00015312100553898595,0.015312100553898596
2024,日本人の配偶者等,エルサルバドル,22,150208,0.00014646357051555176,0.014646357051555176
2024,日本人の配偶者等,スロベニア,22,150208,0.00014646357051555176,0.014646357051555176
2024,日本人の配偶者等,ブータン,22,150208,0.00014646357051555176,0.014646357051555176
2024,日本人の配偶者等,サウジアラビア,20,150208,0.00013314870046868342,0.013314870046868342
2024,日本人の配偶者等,ブルキナファソ,20,150208,0.00013314870046868342,0.013314870046868342
2024,日本人の配偶者等,ニカラグア,18,150208,0.00011983383042181508,0.011983383042181509
2024,日本人の配偶者等,パラオ,18,150208,0.00011983383042181508,0.011983383042181509
2024,日本人の配偶者等,ベナン,18,150208,0.00011983383042181508,0.011983383042181509
2024,日本人の配偶者等,イラク,17,150208,0.00011317639539838091,0.011317639539838092
2024,日本人の配偶者等,アルバニア,16,150208,0.00010651896037494674,0.010651896037494673
2024,日本人の配偶者等,トンガ,16,150208,0.00010651896037494674,0.010651896037494673
2024,日本人の配偶者等,コートジボワール,15,150208,9.986152535151258e-05,0.009986152535151258
2024,日本人の配偶者等,マダガスカル,15,150208,9.986152535151258e-05,0.009986152535151258
2024,日本人の配偶者等,モザンビーク,15,150208,9.986152535151258e-05,0.009986152535151258
2024,日本人の配偶者等,アイスランド,14,150208,9.32040903280784e-05,0.00932040903280784
2024,日本人の配偶者等,ガンビア,14,150208,9.32040903280784e-05,0.00932040903280784
2024,日本人の配偶者等,ザンビア,13,150208,8.654665530464423e-05,0.008654665530464423
2024,日本人の配偶者等,トリニダード・トバゴ,13,150208,8.654665530464423e-05,0.008654665530464423
2024,日本人の配偶者等,モルディブ,13,150208,8.654665530464423e-05,0.008654665530464423
2024,日本人の配偶者等,ジンバブエ,12,150208,7.988922028121005e-05,0.007988922028121006
2024,日本人の配偶者等,パナマ,12,150208,7.988922028121005e-05,0.007988922028121006
2024,日本人の配偶者等,ミクロネシア,12,150208,7.988922028121005e-05,0.007988922028121006
2024,日本人の配偶者等,北マケドニア,12,150208,7.988922028121005e-05,0.007988922028121006
2024,日本人の配偶者等,アゼルバイジャン,11,150208,7.323178525777588e-05,0.007323178525777588
2024,日本人の配偶者等,クウェート,11,150208,7.323178525777588e-05,0.007323178525777588
2024,日本人の配偶者等,ハイチ,11,150208,7.323178525777588e-05,0.007323178525777588
2024,日本人の配偶者等,ルワンダ,11,150208,7.323178525777588e-05,0.007323178525777588
2024,日本人の配偶者等,レバノン,11,150208,7.323178525777588e-05,0.007323178525777588
2024,日本人の配偶者等,アルメニア,10,150208,6.657435023434171e-05,0.006657435023434171
2024,日本人の配偶者等,ジョージア,10,150208,6.657435023434171e-05,0.006657435023434171
2024,日本人の配偶者等,マラウイ,10,150208,6.657435023434171e-05,0.006657435023434171
2024,日本人の配偶者等,タジキスタン,9,150208,5.991691521090754e-05,0.005991691521090754
2024,日本人の配偶者等,サモア,8,150208,5.325948018747337e-05,0.005325948018747337
2024,日本人の配偶者等,パレスチナ,8,150208,5.325948018747337e-05,0.005325948018747337
2024,日本人の配偶者等,モーリシャス,8,150208,5.325948018747337e-05,0.005325948018747337
2024,日本人の配偶者等,トーゴ,7,150208,4.66020451640392e-05,0.00466020451640392
2024,日本人の配偶者等,ボスニア・ヘルツェゴビナ,7,150208,4.66020451640392e-05,0.00466020451640392
2024,日本人の配偶者等,イエメン,6,150208,3.994461014060503e-05,0.003994461014060503
2024,日本人の配偶者等,キプロス,6,150208,3.994461014060503e-05,0.003994461014060503
2024,日本人の配偶者等,ルクセンブルク,6,150208,3.994461014060503e-05,0.003994461014060503
2024,日本人の配偶者等,アンゴラ,5,150208,3.3287175117170854e-05,0.0033287175117170855
2024,日本人の配偶者等,リビア,5,150208,3.3287175117170854e-05,0.0033287175117170855
2024,日本人の配偶者等,コンゴ共和国,4,150208,2.6629740093736684e-05,0.0026629740093736683
2024,日本人の配偶者等,ソロモン,4,150208,2.6629740093736684e-05,0.0026629740093736683
2024,日本人の配偶者等,バルバドス,4,150208,2.6629740093736684e-05,0.0026629740093736683
2024,日本人の配偶者等,ブルネイ,4,150208,2.6629740093736684e-05,0.0026629740093736683
2024,日本人の配偶者等,中央アフリカ,4,150208,2.6629740093736684e-05,0.0026629740093736683
2024,日本人の配偶者等,ガボン,3,150208,1.9972305070302514e-05,0.0019972305070302516
2024,日本人の配偶者等,シエラレオネ,3,150208,1.9972305070302514e-05,0.0019972305070302516
2024,日本人の配偶者等,バハマ,3,150208,1.9972305070302514e-05,0.0019972305070302516
2024,日本人の配偶者等,バーレーン,3,150208,1.9972305070302514e-05,0.0019972305070302516
2024,日本人の配偶者等,パプアニューギニア,3,150208,1.9972305070302514e-05,0.0019972305070302516
2024,日本人の配偶者等,ベリーズ,3,150208,1.9972305070302514e-05,0.0019972305070302516
2024,日本人の配偶者等,マルタ,3,150208,1.9972305070302514e-05,0.0019972305070302516
2024,日本人の配偶者等,モーリタニア,3,150208,1.9972305070302514e-05,0.0019972305070302516
2024,日本人の配偶者等,オマーン,2,150208,1.3314870046868342e-05,0.0013314870046868342
2024,日本人の配偶者等,キリバス,2,150208,1.3314870046868342e-05,0.0013314870046868342
2024,日本人の配偶者等,コソボ共和国,2,150208,1.3314870046868342e-05,0.0013314870046868342
2024,日本人の配偶者等,セントルシア,2,150208,1.3314870046868342e-05,0.0013314870046868342
2024,日本人の配偶者等,ボツワナ,2,150208,1.3314870046868342e-05,0.0013314870046868342
2024,日本人の配偶者等,リヒテンシュタイン,2,150208,1.3314870046868342e-05,0.0013314870046868342
2024,日本人の配偶者等,リベリア,2,150208,1.3314870046868342e-05,0.0013314870046868342
2024,日本人の配偶者等,レソト,2,150208,1.3314870046868342e-05,0.0013314870046868342
2024,日本人の配偶者等,東ティモール,2,150208,1.3314870046868342e-05,0.0013314870046868342
