年,表示区分,年代,人数,総人数,構成比,構成比_pct
2019,短期滞在,30代,121793.6290922486,502899.6051050937,0.24218278928017195,24.218278928017195
2019,短期滞在,40代,86787.08638396594,502899.6051050937,0.17257338344067613,17.257338344067612
2019,短期滞在,50代,67986.79235628214,502899.6051050937,0.13518959185118978,13.518959185118979
2019,短期滞在,60代,40250.49110705846,502899.6051050937,0.08003683180194006,8.003683180194006
2019,短期滞在,70代以上,13737.94766969175,502899.6051050937,0.027317475556221316,2.731747555622132
2019,その他,0~13歳,79838.10369625853,650572.8608482066,0.12271969598019641,12.271969598019641
2019,その他,10代(14歳以上),13444.096120564043,650572.8608482066,0.02066501222174538,2.066501222174538
2019,その他,20代,219890.38177027888,650572.8608482066,0.33799501178636515,33.79950117863652
2019,その他,30代,227051.46201388104,650572.8608482066,0.349002357273027,34.9002357273027
2019,その他,40代,75136.21063618468,650572.8608482066,0.1154923839556161,11.549238395561611
2019,その他,50代,24664.70666753894,650572.8608482066,0.03791228954030066,3.791228954030066
2019,その他,60代,7522.2196202042305,650572.8608482066,0.011562455295778677,1.1562455295778677
2019,その他,70代以上,3025.680323296241,650572.8608482066,0.004650793946970685,0.46507939469706855
2020,日本人,0~13歳,13747888.589951375,123399000.0,0.11141004862236627,11.141004862236628
2020,日本人,10代(14歳以上),6682945.842787682,123399000.0,0.054157212317666126,5.415721231766613
2020,日本人,20代,11865903.841166936,123399000.0,0.09615883306320906,9.615883306320907
2020,日本人,30代,13590889.862236628,123399000.0,0.11013776337115072,11.013776337115072
2020,日本人,40代,17938854.627228525,123399000.0,0.14537277147487843,14.537277147487842
2020,日本人,50代,16378867.26904376,123399000.0,0.13273095623987033,13.273095623987032
2020,日本人,60代,15522874.205834685,123399000.0,0.1257941653160454,12.57941653160454
2020,日本人,70代以上,27670775.761750404,123399000.0,0.22423824959481362,22.42382495948136
2020,永住者等,0~13歳,100558.0,1152361.0,0.08726258524889335,8.726258524889335
2020,永住者等,10代(14歳以上),41535.0,1152361.0,0.036043392652128976,3.604339265212898
2020,永住者等,20代,82168.0,1152361.0,0.07130404447911722,7.1304044479117215
2020,永住者等,30代,182042.0,1152361.0,0.15797306573200587,15.797306573200586
2020,永住者等,40代,258293.0,1152361.0,0.22414243453223426,22.414243453223428
2020,永住者等,50代,239474.0,1152361.0,0.20781161458952532,20.781161458952532
2020,永住者等,60代,135786.0,1152361.0,0.11783286661037644,11.783286661037645
2020,永住者等,70代以上,112505.0,1152361.0,0.09762999615571856,9.762999615571855
2020,定住者,0~13歳,48105.16053551526,206318.09336790547,0.23316016424082767,23.31601642408277
2020,定住者,10代(14歳以上),20044.06992037165,206318.09336790547,0.09715129484368178,9.715129484368177
2020,定住者,20代,38004.18003635806,206318.09336790547,0.18420187689786946,18.420187689786946
2020,定住者,30代,44611.31437488493,206318.09336790547,0.21622589491137958,21.62258949113796
2020,定住者,40代,31808.97947169462,206318.09336790547,0.1541744543701894,15.417445437018939
2020,定住者,50代,16592.732896110523,206318.09336790547,0.08042306239483533,8.042306239483533
2020,定住者,60代,5117.290321015909,206318.09336790547,0.024802915912424513,2.4802915912424512
2020,定住者,70代以上,2034.3658119545048,206318.09336790547,0.009860336428792181,0.9860336428792181
2020,日本人の配偶者等,0~13歳,1884.5783568333115,146446.0,0.012868759521143025,1.2868759521143025
2020,日本人の配偶者等,10代(14歳以上),1104.261048003951,146446.0,0.007540397470767047,0.7540397470767046
2020,日本人の配偶者等,20代,18788.73687212627,146446.0,0.12829805438268213,12.829805438268213
2020,日本人の配偶者等,30代,50872.41003345877,146446.0,0.34737999012235754,34.737999012235754
2020,日本人の配偶者等,40代,36629.07241981372,146446.0,0.2501199924874269,25.01199924874269
2020,日本人の配偶者等,50代,23519.537893279725,146446.0,0.16060211882386494,16.060211882386493
2020,日本人の配偶者等,60代,10299.984738346817,146446.0,0.07033298784771737,7.033298784771737
2020,日本人の配偶者等,70代以上,3347.4186381374384,146446.0,0.02285769934404107,2.2857699344041067
2020,技能実習,0~13歳,0.0,414849.0,0.0,0.0
2020,技能実習,10代(14歳以上),16496.150056408445,414849.0,0.03976422760187067,3.976422760187067
2020,技能実習,20代,290346.4671439434,414849.0,0.6998846981526855,69.98846981526854
2020,技能実習,30代,94314.22775345284,414849.0,0.22734592045166516,22.734592045166515
2020,技能実習,40代,13018.990067640438,414849.0,0.03138247908911541,3.138247908911541
2020,技能実習,50代,673.1649785548495,414849.0,0.001622674704663262,0.1622674704663262
2020,技能実習,60代,0.0,414849.0,0.0,0.0
