年,区分00,区分01,在留資格,罪種00,罪種01,推定検挙人員
2015,外国人,来日外国人,計,風俗犯,計,107.25534176098533
2015,外国人,永住者等,計,その他の刑法犯,計,341.4758534355943
2015,外国人,永住者等,計,凶悪犯,計,41.32242448913841
2015,外国人,永住者等,計,知能犯,計,129.5126233457354
2015,外国人,永住者等,計,窃盗犯,計,991.684075968812
2015,外国人,永住者等,計,粗暴犯,計,518.6406050662139
2015,外国人,永住者等,計,風俗犯,計,58.222543396684785
2016,外国人,来日外国人,計,その他の刑法犯,計,716.2524243664338
2016,外国人,来日外国人,計,凶悪犯,計,96.28274790138596
2016,外国人,来日外国人,計,知能犯,計,276.43801290090084
2016,外国人,来日外国人,計,窃盗犯,計,1637.2945871401241
2016,外国人,来日外国人,計,粗暴犯,計,980.07840576933
2016,外国人,来日外国人,計,風俗犯,計,121.8017029419862
2016,外国人,永住者等,計,その他の刑法犯,計,316.29028131619236
2016,外国人,永住者等,計,凶悪犯,計,40.28519066946417
2016,外国人,永住者等,計,知能犯,計,128.60834358429003
2016,外国人,永住者等,計,窃盗犯,計,941.7878637436714
2016,外国人,永住者等,計,粗暴犯,計,524.9054399512135
2016,外国人,永住者等,計,風俗犯,計,58.619818416630956
2017,外国人,来日外国人,計,その他の刑法犯,計,745.879211734839
2017,外国人,来日外国人,計,凶悪犯,計,104.5444299271387
2017,外国人,来日外国人,計,知能犯,計,306.39231934066487
2017,外国人,来日外国人,計,窃盗犯,計,1744.5939956352447
2017,外国人,来日外国人,計,粗暴犯,計,1102.3670804894605
2017,外国人,来日外国人,計,風俗犯,計,133.02627879039073
2017,外国人,永住者等,計,その他の刑法犯,計,293.6661585154998
2017,外国人,永住者等,計,凶悪犯,計,39.08070235543835
2017,外国人,永住者等,計,知能犯,計,124.62419631971527
2017,外国人,永住者等,計,窃盗犯,計,907.0025551668779
2017,外国人,永住者等,計,粗暴犯,計,521.3870639117285
2017,外国人,永住者等,計,風俗犯,計,55.610426889371816
2018,外国人,来日外国人,計,その他の刑法犯,計,767.495089302969
2018,外国人,来日外国人,計,凶悪犯,計,119.61930700114361
2018,外国人,来日外国人,計,知能犯,計,332.34567664455386
2018,外国人,来日外国人,計,窃盗犯,計,1831.5675118662
2018,外国人,来日外国人,計,粗暴犯,計,1248.702174351464
2018,外国人,来日外国人,計,風俗犯,計,144.90268869735056
2018,外国人,永住者等,計,その他の刑法犯,計,275.01831427874004
2018,外国人,永住者等,計,凶悪犯,計,40.91373598716969
2018,外国人,永住者等,計,知能犯,計,123.05980314195385
2018,外国人,永住者等,計,窃盗犯,計,866.3920109902938
2018,外国人,永住者等,計,粗暴犯,計,532.2578062263993
2018,外国人,永住者等,計,風俗犯,計,57.830245986754925
2019,外国人,来日外国人,計,その他の刑法犯,計,749.0377741739081
2019,外国人,来日外国人,計,凶悪犯,計,137.76288003673486
2019,外国人,来日外国人,計,知能犯,計,347.6135201955542
2019,外国人,来日外国人,計,窃盗犯,計,1854.1202695158238
2019,外国人,来日外国人,計,粗暴犯,計,1360.1885608720484
2019,外国人,来日外国人,計,風俗犯,計,157.97863020920778
