調査年度,能力項目,在留資格,回答者数,選択肢順,選択肢,割合,割合_pct,出典ファイル,出典ページ,出典表
2024,読む,その他,412,3,日常生活のEメールなどを読むことができる,0.199,19.9,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,その他,412,4,簡単で短い文章を読むことができる,0.245,24.5,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,その他,412,5,掲示等の名前や言葉なら読むことができる,0.143,14.3,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,その他,412,6,全く分からない,0.131,13.1,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,書く,全体,7291,1,明瞭で流ちょうな文章を書くことができる,0.081,8.1,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,全体,7291,2,詳しい説明文を書くことができる,0.088,8.8,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,全体,7291,3,日常生活のEメールなどを書くことができる,0.219,21.9,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,全体,7291,4,短いメモやメッセージを書くことができる,0.303,30.3,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,全体,7291,5,名前や住所などを書くことができる,0.227,22.7,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,全体,7291,6,全くできない,0.081,8.1,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,技術・人文知識・国際業務,1011,1,明瞭で流ちょうな文章を書くことができる,0.099,9.9,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,技術・人文知識・国際業務,1011,2,詳しい説明文を書くことができる,0.153,15.3,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,技術・人文知識・国際業務,1011,3,日常生活のEメールなどを書くことができる,0.364,36.4,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,技術・人文知識・国際業務,1011,4,短いメモやメッセージを書くことができる,0.244,24.4,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,技術・人文知識・国際業務,1011,5,名前や住所などを書くことができる,0.1,10.0,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,技術・人文知識・国際業務,1011,6,全くできない,0.04,4.0,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,特定技能,532,1,明瞭で流ちょうな文章を書くことができる,0.024,2.4,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,特定技能,532,2,詳しい説明文を書くことができる,0.021,2.1,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,特定技能,532,3,日常生活のEメールなどを書くことができる,0.145,14.5,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,特定技能,532,4,短いメモやメッセージを書くことができる,0.481,48.1,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,特定技能,532,5,名前や住所などを書くことができる,0.303,30.3,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,特定技能,532,6,全くできない,0.026,2.6,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,技能実習,968,1,明瞭で流ちょうな文章を書くことができる,0.025,2.5,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,技能実習,968,2,詳しい説明文を書くことができる,0.015,1.5,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,技能実習,968,3,日常生活のEメールなどを書くことができる,0.085,8.5,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,技能実習,968,4,短いメモやメッセージを書くことができる,0.449,44.9,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
